# ID,Conference,Nickname,Alias 0,Alias 1,...Alias n
186,MAC,Huskies,Northern Illinois University,Northern Illinois,N Illinois,N.ILL
187,MAC,Bobcats,Ohio University,Ohio
188,MAC,Rockets,University of Toledo,Toledo
189,MAC,Broncos,Western Michigan University,Western Michigan,W Michigan,WMICH
190,MEAC,Wildcats,Bethune–Cookman University,Bethune–Cookman,BCOOK,Bethune-Cookman
191,MEAC,Eagles,Coppin State University,Coppin State,COPIN,Coppin St
192,MEAC,Hornets,Delaware State University,Delaware State,DELST
193,MEAC,Rattlers,Florida Agricultural and Mechanical University,Florida A&M,FLA&M
194,MEAC,Bison,Howard University,Howard,HOWRD
195,MEAC,Hawks,University of Maryland Eastern Shore,UMES,MD-ES,MD-Eastern
196,MEAC,Bears,Morgan State University,Morgan State,MORGN
197,MEAC,Spartans,Norfolk State University,Norfolk State,NORFK,Norfolk St
198,MEAC,Aggies,North Carolina Agricultural and Technical State University,North Carolina A&T,NCA&T,NC A&T
199,MEAC,Eagles,North Carolina Central University,NCCU,NCCEN,NC Central
200,MEAC,Tigers,Savannah State University,Savannah State,SAVAN
201,MEAC,Bulldogs,South Carolina State University,SC State,SC.ST
202,Missouri Valley,Braves,Bradley University,Bradley
203,Missouri Valley,Bulldogs,Drake University,Drake
204,Missouri Valley,Purple Aces,University of Evansville,Evansville
205,Missouri Valley,Redbirds,Illinois State University,Illinois State
206,Missouri Valley,Sycamores,Indiana State University,Indiana State
207,Missouri Valley,Ramblers,Loyola University Chicago,Loyola–Chicago
208,Missouri Valley,Bears,Missouri State University,Missouri State
209,Missouri Valley,Panthers,University of Northern Iowa,Northern Iowa
210,Missouri Valley,Salukis,Southern Illinois University Carbondale,Southern Illinois,So Illinois,S.ILL
211,Missouri Valley,Crusaders,Valparaiso University,Valparaiso
212,Mountain West,Falcons,United States Air Force Academy,Air Force,AIRFO
213,Mountain West,Broncos,Boise State University,Boise State
214,Mountain West,Rams,Colorado State University,Colorado State,COLST
215,Mountain West,Bulldogs,California State University Fresno,Fresno State
216,Mountain West,Wolf Pack,University of Nevada Reno,Nevada
217,Mountain West,Lobos,University of New Mexico,New Mexico
218,Mountain West,Aztecs,San Diego State University,San Diego State,SD.ST
219,Mountain West,Spartans,San Jose State University,San Jose State
220,Mountain West,Runnin' Rebels,University of Nevada Las Vegas,UNLV
221,Mountain West,Aggies,Utah State University,Utah State
222,Mountain West,Cowboys,University of Wyoming,Wyoming
223,Northeast,Bulldogs,Bryant University,Bryant
224,Northeast,Blue Devils,Central Connecticut State University,Central Connecticut
225,Northeast,Knights,Fairleigh Dickinson University,Fairleigh Dickinson
226,Northeast,Blackbirds,Long Island University (Brooklyn Campus),LIU Brooklyn
227,Northeast,Mountaineers,Mount St. Mary's University,Mount St. Mary's
228,Northeast,Colonials,Robert Morris University,Robert Morris
229,Northeast,Pioneers,Sacred Heart University,Sacred Heart
230,Northeast,Terriers,St. Francis College,St. Francis Brooklyn
231,Northeast,Red Flash,Saint Francis University,St. Francis (PA)
